Symbol	Name	Comment	Position	Elevation	Date Modified	Date Created	Link	Temperature	Proximity	Display Type	Categories
	"104"	"21-AUG-21 12:24:54"	"N61° 14.045' W45° 29.809'"	"50 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"105"	"21-AUG-21 12:24:59"	"N61° 14.045' W45° 29.808'"	"52 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"106"	"21-AUG-21 12:25:43"	"N61° 14.049' W45° 29.823'"	"41 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"107"	"21-AUG-21 12:26:00"	"N61° 14.048' W45° 29.821'"	"46 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"108"	"21-AUG-21 12:26:20"	"N61° 14.049' W45° 29.826'"	"45 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"109"	"21-AUG-21 12:29:29"	"N61° 14.048' W45° 29.820'"	"47 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"110"	"21-AUG-21 12:29:42"	"N61° 14.049' W45° 29.819'"	"36 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"112"	"21-AUG-21 12:31:11"	"N61° 14.047' W45° 29.814'"	"49 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"113"	"21-AUG-21 12:31:45"	"N61° 14.051' W45° 29.821'"	"34 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"114"	"21-AUG-21 12:31:54"	"N61° 14.082' W45° 29.698'"	""	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"115"	"21-AUG-21 12:37:35"	"N61° 14.051' W45° 29.819'"	"31 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"116"	"21-AUG-21 12:37:53"	"N61° 14.053' W45° 29.817'"	"43 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"117"	"21-AUG-21 12:39:57"	"N61° 14.080' W45° 29.779'"	"73 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"118"	"21-AUG-21 12:40:06"	"N61° 14.079' W45° 29.779'"	"78 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"119"	"21-AUG-21 12:40:20"	"N61° 14.076' W45° 29.778'"	"76 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"120"	"21-AUG-21 12:40:54"	"N61° 14.062' W45° 29.777'"	"69 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"121"	"21-AUG-21 12:40:59"	"N61° 14.061' W45° 29.777'"	"64 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"122"	"21-AUG-21 12:41:03"	"N61° 14.060' W45° 29.778'"	"66 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"123"	"28-AUG-21 15:14:54"	"N61° 13.970' W45° 29.744'"	"5 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"124"	"28-AUG-21 15:15:30"	"N61° 13.971' W45° 29.753'"	"27 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"125"	"28-AUG-21 15:15:59"	"N61° 13.971' W45° 29.752'"	"27 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"126"	"28-AUG-21 15:25:39"	"N61° 13.969' W45° 29.745'"	"27 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"127"	"28-AUG-21 15:26:03"	"N61° 13.969' W45° 29.739'"	"29 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"128"	"28-AUG-21 15:26:52"	"N61° 13.969' W45° 29.739'"	"29 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"129"	"28-AUG-21 15:27:01"	"N61° 13.969' W45° 29.739'"	"27 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"130"	"28-AUG-21 15:27:21"	"N61° 13.967' W45° 29.742'"	"25 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"131"	"28-AUG-21 15:29:24"	"N61° 13.968' W45° 29.745'"	"26 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
	"132"	"28-AUG-21 15:31:03"	"N61° 13.970' W45° 29.740'"	"30 ft"	"30/08/2021, 11.00"	"30/08/2021, 11.00"	""	""	""	"Symbol and Name"	""
