GPS ID	notes	date	Position	Elevation	tree type	source	age estimate	height	other notes	photo
127	B	28-Aug-21 15:26:03	N61° 13.969' W45° 29.739'	29 ft	sibirca	shoreline				
128	B	28-Aug-21 15:26:52	N61° 13.969' W45° 29.739'	29 ft	sibirca	shoreline				
129	B	28-Aug-21 15:27:01	N61° 13.969' W45° 29.739'	27 ft	contorta	shoreline				
130	B	28-Aug-21 15:27:21	N61° 13.967' W45° 29.742'	25 ft	sibirca	shoreline	3			
131	B	28-Aug-21 15:29:24	N61° 13.968' W45° 29.745'	26 ft	sibirca	shoreline	3			
132	B	28-Aug-21 15:31:03	N61° 13.970' W45° 29.740'	30 ft	contorta	shoreline	2			
133	B	28-Aug-21 15:31:56	N61° 13.966' W45° 29.742'	22 ft	contorta	shoreline	2			
134	B	28-Aug-21 15:33:45	N61° 13.970' W45° 29.740'	22 ft	sibirca	shoreline	5			
136	B	28-Aug-21 15:34:38	N61° 13.967' W45° 29.740'	20 ft	sibirca	shoreline	1			
137	B	28-Aug-21 15:37:04	N61° 13.972' W45° 29.743'	22 ft	contorta	shoreline	1			
138	B	28-Aug-21 15:38:17	N61° 13.968' W45° 29.748'	25 ft	contorta	shoreline	4			
139	B	28-Aug-21 15:39:31	N61° 13.970' W45° 29.753'	27 ft	sibirca	shoreline	4			
140	B	28-Aug-21 15:43:38	N61° 13.971' W45° 29.751'	23 ft	sitka	shoreline	3			
141	B	28-Aug-21 15:44:59	N61° 13.972' W45° 29.758'	27 ft	sibirca	shoreline				
142	B	28-Aug-21 15:46:03	N61° 13.971' W45° 29.758'	24 ft	contorta	shoreline				
143	B	28-Aug-21 15:50:40	N61° 13.972' W45° 29.756'	26 ft	sibirca	shoreline				
144	B	28-Aug-21 15:50:51	N61° 13.971' W45° 29.758'	26 ft	sibirca	shoreline				
145	B	28-Aug-21 15:52:51	N61° 13.974' W45° 29.755'	28 ft	contorta	shoreline				
146	B	28-Aug-21 15:55:25	N61° 13.969' W45° 29.759'	23 ft	sibirca	shoreline				
147	B	28-Aug-21 15:55:27	N61° 13.970' W45° 29.759'	23 ft	sibirca	shoreline				
